absolute,absolutely
acero,maple
a?eti,to buy
adapti,to adapt
adia?,"adieu, farewell, bye, goodbye, good-bye"
aero,air
adjektivo,adjective
admiri,to admire
admirinda,admirable
adreso,address
adverbo,adverb
aeroplano,"airplane, aeroplane"
afabla,"kind, friendly"
afero,"matter, affair, thing"
Afriko,Africa
agrabla,"pleasant, nice"
agi,"to act, to take action"
ago,"act, action"
a?o,age
aha,"aha, ah-ha"
a?,"ah, oh, ow"
aj,"ow, ouch"
ajn,-ever
akcento,"accent, stress"
akcepti,to accept
akcidento,accident
akordi,to agree
akvo,water
al,"to, towards"
ali?i,to join
alveni,to arrive
alia,other
almena?,at least
alta,"high, tall"
ami,"to love, to like"
amba?,both
amiko,friend
Anglolando,England
Anglio,England
angla,English
angle,"in English, in the English way"
Anglo,"Englishperson, Englishman"
Anglujo,England
anka?,"also, too"
ankora?,"still, yet"
anstata?,instead of
anta?,before
aparta,separate
apena?,"barely, scarcely"
aperi,to appear
aprilo,April
apud,"beside, near"
arbo,tree
arto,art
asisti,to assist
atendi,to wait
atenta,"attentive, careful"
a?,or
a? ... a?,either ... or
a?di,to hear
a?gusto,August
a?skulti,to listen
a?to,"automobile, car"
a?tobuso,bus
a?tuno,"autumn, fall"
avo,grandfather
averto,warning
Azio,Asia
ba,"bah, pooh, nuts"
balda?,soon
ban?ambro,bathroom
banejo,bathroom
bani,to bathe
bati,"to hit, to beat"
batali,to fight
beda?ri,"to be sorry, to regret"
bedo,bed
bela,"lovely, beautiful"
besto,"animal, beast"
bezoni,"to need, to require"
biblioteko,library
biciklo,bicycle
biero,beer
bildo,"picture, image"
birdo,bird
bis,"encore, one more time"
blanka,white
blua,blue
bona,good
bonvenigi,"to welcome, to greet"
bonvenon,welcome
brako,arm
Brazilo,"Brazil, Brasil"
brili,"to shine, to be bright"
Britio,"Britain, Great Britain"
Britujo,"Britain, Great Britain"
brui,to make a noise
bruli,"to burn, to be on fire"
bruna,brown
buso,bus
bu?o,mouth
bv.,please
cedi,"to cede, to give in, to give up, to give way, to relinquish, to yield"
celi,to aim at
cent,"(one) hundred, 100"
centmil,"(one) hundred thousand, 100000"
centro,"centre, center"
certa,"sure, certain"
certe,"surely, certainly"
cetera,remaining
cetere,"besides, for the rest, moreover, what's more"
cirklo,circle
?ambro,room
?apelo,hat
?agreni,"to annoy, to grieve, to trouble, to vex, to worry"
?ar,"because, since"
?e,"at, by"
?ef-,"arch-, chief-"
?i,indicates proximity
?ia,"all, every kind of"
?ial,for every reason
?iam,"always, ever"
?ie,everywhere
?iel,in every way
?ielo,"heaven, sky"
?ies,everyone's
?io,"all, everything"
?ina,Chinese
?inio,"China, ??, ??"
?inujo,"China, ??, ??"
?iom,"all, all of it"
?irka?,"around, approximately"
?iu,"each, every"
?iuj,all
?okolado,chocolate
?u,whether
?u ne,isn't that so? or not?
d-ro,"Dr., Doctor"
da,of (follows quantity or measure)
damne,damn
danci,to dance
danki,to thank
da?ri,"to last, to continue, to go on"
de,"of, from"
decidi,to decide
denove,"again, once more, all over again, anew"
decembro,December
dek,ten
dekstra,"right, right-hand"
demandi,to ask (a question)
demando,question
dento,tooth
dependi,to depend
devi,"to have to, must"
deveni,"to come, to derive, to originate, to result"
deziri,"to wish, to desire"
dika,"thick, fat"
diman?o,Sunday
diri,to say
direkto,direction
diversa,varied
do,"therefore, so, then"
doktoro,doctor
dol?a,sweet
doloro,pain
doma?e,"that's too bad, what a pity"
domo,"house, building"
doni,to give
dormi,to sleep
dorso,back
du,two
dubi,to doubt
dum,"for, during, whereas, while, whilst"
dura,hard
ebena,"even, flat, level, smooth"
eble,"maybe, perhaps, possibly"
ebli,to be possible
ebria,"drunk, intoxicated"
e?,even
edzo,husband
efika,"effective, effectual, efficacious"
egala,"equal, even, level"
ege,extremely
e?o,echo
ejo,place
ek!,"let's go!, move it!"
ekde,"from, since"
ekhavi,to get
eko,"beginning, commencement, inception, opening, outset, start"
ekscese,excessively
ekskuzi,to excuse
ekspliki,to explain
ekster,"outside, out of"
ekzemplo,example
ekzerci,"to exercise, to practice"
el,"out of, from"
elekti,"to choose, to elect"
en,"a, in, inside, into, on, per, within"
enui,"to be bored, to be tired of something"
enuigi,to bore
enui?i,to get bored
erari,"to err, to make a mistake"
ero,"element, fragment, item, particle"
esperi,to hope
esti,to be
estonto,future
estro,"boss, chief, leader"
E?ropo,Europe
evolui,"to evolve, to develop"
facila,easy
facile,easily
fajro,fire
fali,to fall
falko,falcon
fama,famous
familio,family
fari,"to do, to make"
farti,"to fare, to feel"
februaro,February
feli?a,happy
felo,"skin, hide, fur"
fenestro,window
fero,iron (metal)
fermi,to close
festi,to celebrate
fidi,"to have faith, to trust"
filo,son
fina,final
fini,"to finish, to end (something)"
fingro,finger
fi?o,fish
flanko,side
flava,yellow
floro,flower
flughaveno,airport
flugi,to fly
fojo,"time, occasion"
for,"far, away"
forgesi,to forget
forigi,"to do away with, to get rid of, to remove"
foriro,departure
formo,form
forta,strong
franca,French
Francio,France
Francujo,France
frapi,"to hit, to strike"
frato,brother
fra?lo,bachelor
fremda,"foreign, alien"
frida,"cold, frigid"
froma?o,cheese
fronte al,opposite
frua,early
frukto,fruit
funkcii,"to function, to work"
gaja,"happy, cheerful"
gajni,"to win, to acquire"
gardi,"to guard, to keep, to look after, to watch over"
gasto,guest
gazeto,magazine
germana,German
Germanio,"Germany, Deutschland"
Germanujo,"Germany, Deutschland"
glacio,ice
glaso,(drinking) glass
globo,"globe, sphere"
golo,goal (scored)
gramatiko,grammar
granda,"large, great"
grava,important
griza,gray
grupo,group
gusto,taste
gustumi,to taste (something)
?angalo,jungle
?ardeno,garden
?i,it
?is,"till, until, as far as"
?oji,"to be glad, to rejoice"
?usta,"correct, exact"
ha!,ah!
halti,to stop
haro,(one) hair
hararo,hair
haste,"hastily, hurriedly"
ha?to,"skin, flesh"
havi,to have
havigi,"to get, to procure"
havebla,available
hejmo,home
hela,"bright, clear"
helpi,to help
hiera?,yesterday
hinda,Indian
Hindio,"India, ????"
Hindujo,"India, ????"
hispana,Spanish
Hispanio,"Spain, España"
Hispanujo,"Spain, España"
historio,history
ho!,"o!, oh!"
ho ve!,"oh dear!, alas!"
hodia?,today
homo,"person, human"
horo,hour
hundo,dog
hurai,to cheer
?ina,Chinese
?inio,"China, ??, ??"
?inujo,"China, ??, ??"
ia,some kind of
ial,for some reason
iam,"at some time, ever, sometime"
ideo,idea
idioto,idiot
ido,"child, offspring"
ie,"anywhere, somewhere"
iel,"anyway, somehow"
ien,"somewhere, to some place"
ies,someone's
igi,"to cause, to get, to make"
i?i,"to become, to get, to grow"
ili,they
ilo,"tool, means"
imagi,to imagine
ina,"female, feminine"
infano,child
informi,to inform
informi?i,"to be advised, to be informed, to find out"
insekto,insect
instrui,to teach
insulo,island
insulta,"insulting, offensive"
inter,"between, among"
inter ... kaj ...,"... to ..., from ... to ..."
intereso,interest
interesi,"to interest, to be interesting to"
interesi?i,"to be interested, to take an interest"
interna,"internal, inside"
iom,"a little, rather, some, somewhat, to some extent"
iom post iom,"gradually, little by little"
iri,to go
iu,"a, any, anybody, some, somebody, one, someone, some one"
iu ajn,any
iuj,"a few, some"
ja,indeed
jam,already
januaro,January
Japanlando,"Japan, ??"
Japanio,"Japan, ??"
japana,Japanese
Japanujo,"Japan, ??"
jaro,year
je,"as regards, in relation to"
jen,"here is (are), look!"
jen ... jen ...,"sometimes ... sometimes ..., now ... now ..."
jes,yes
julio,July
juna,young
junio,June
justa,"just, fair"
?aluza,jealous
?a?do,Thursday
?eti,to throw
?urnalo,newspaper
?us,"just, just now"
kafo,coffee
kaj,and
kaj ... kaj ...,both ... and ...
kalkuli,"to calculate, to count"
kampo,"field, area"
kanti,to sing
kapo,head
kapti,to catch
kara,"dear, expensive, lovely, valuable"
ka?i,to hide (something)
kato,cat
ka?zo,cause
ke,that
kelka,some
kia,"what kind of, what sort of"
kial,"what for, why"
kiam,when
kie,where
kiel,"as, how, like"
kies,"of which, which one's, whose"
kio,"what, which"
kiom,"how many, how much"
kisi,kiss
kiu,"that, which, which one, who"
klara,clear
klubo,"club, group"
knabo,boy
kolekti,to collect
koleri,to be angry
koleri?i,to get angry
kolo,neck
koloro,color
komenci,to begin (something)
komerci,"to trade, to do business"
komforta,comfortable
kompreni,"to understand, to realise, to realize"
komuna,"common, general"
komuniki,to communicate
koni,to know
konduki,to lead
kongreso,"congress, convention"
konsenti,to agree
konsili,to advise
konstrui,to build
kontenta,"satisfied, content"
kontra?,"across from, against, in exchange for, opposed to, opposite, upon"
korespondi,"to correspond, to exchange letters"
koro,heart
korpo,body
korto,"yard, courtyard"
kosti,to cost
koverto,envelope
kovri,to cover
kredi,to believe
kreski,to grow
krii,"to yell, to cry out"
krom,"apart from, besides, except, except for"
ksilofono,xylophone
ktp,"and so on, et cetera"
kuiri,to cook
kuko,cake
kun,with
kunuzi,to share
kura?a,"brave, courageous"
kuri,to run
kurso,"course, series of lessons"
ku?i,to lie down
kutimo,"custom, habit"
kvankam,although
kvar,four
kvaza?,"as if, as though"
kvieta,quiet
kvin,five
la,the (definite article)
labori,to work
laca,tired
lakto,milk
lando,"country, land"
lar?a,wide
lasi,"to leave, to allow"
lasta,last
la?,"according to, along"
lavi,to wash
leciono,lesson
legi,to read
lerni,to learn
letero,letter (correspondence)
levi,to lift
li,he
libera,"free, independent"
libro,book
ligo,"league, alliance"
ligi,"to tie, to bind"
ligno,wood
lingvo,language
linio,line
lito,bed
lo?i,"to live, to inhabit"
loko,"place, position"
longa,long
ludi,to play
ludo,game
lumi,"to shine, to give light"
lundo,Monday
majo,May (month)
mano,hand
man?i,to eat
manki,"to be lacking, to be absent"
maro,"sea, ocean"
mardo,Tuesday
marko,"sign, mark"
marto,March (month)
mateno,morning
matenman?o,breakfast
mem,"-self, -selves"
membro,member
memori,to remember
merkredo,Wednesday
meti,"to put, to place"
mezo,middle
mezuri,to measure (something)
mi,"I, me"
mil,(one) thousand
militi,to wage war
minuto,minute
miri,"to marvel, to be amazed"
mirinda,wonderful
misuzi,to misuse
momento,moment
mono,money
monato,month
mondo,world
monto,mountain
montri,to show
morga?,tomorrow
morti,to die
movi,to move (something)
multa,"much, a lot of"
muro,wall
nacio,nation
na?i,to swim
naski,to give birth (to)
naturo,nature
na?,nine
nazo,nose
ne,"no, not"
necesa,necessary
ne?o,snow
nek,nor
nek ... nek ...,neither... nor...
nestabila,unstable
ni,"we, us"
nigra,black
nokto,night
nomo,name
nombro,"number, amount"
norda,north
nova,new
novembro,November
nu,"well!, now!"
nubo,cloud
nul,zero
nun,now
nur,only
ofta,"frequent, common"
ok,eight
okazi,"to happen, to occur"
oktobro,October
okulo,eye
okupi,to occupy
ol,than (in comparisions)
oni,"one, people, ""they"""
onklo,uncle
opinii,"to think, to have an opinion"
ordo,order
ordoni,"to order, to command"
orelo,ear
osto,bone
ovo,egg
,peace
pagi,to pay
pano,bread
papero,paper
pardoni,"to forgive, to excuse"
paroli,to speak
parto,part
pasi,to pass
pa?i,"to step, to pace"
patro,father
peco,"piece, bit"
peni,"to try, to endeavour"
pensi,to think
per,"by (means of), with"
perdi,to lose
permesi,"to allow, to permit"
persono,person
peti,"to ask (for), to request"
piedo,foot
pilko,ball (for playing)
pla?i,"to please, to be pleasing"
pla?o,beach
planko,floor
plej,most (superlative)
plena,full
plendi,to complain
plezuro,"pleasure, enjoyment"
pli,more (comparative)
plori,"to cry, to weep"
plu,"further, more (adverb)"
plumo,pen
pluvo,rain
popolo,"people, nation"
por,"for, in order to"
pordo,door
porti,to carry
post,"after, behind"
postuli,"to demand, to require"
povi,to be able (to)
prava,"right, correct"
precipa,"main, principal"
premi,"to press, to squeeze"
preni,to take
preska?,almost
preta,ready
preter,"beyond, past"
prezenti,to present
pri,"about, concerning"
printempo,spring
pro,"because of, by reason of"
problemo,problem
profunda,deep
proksima,"near, close"
propra,(one's) own
provi,"to try, to test"
punkto,"point, period"
pura,"clean, pure"
rajto,a right
rakonti,"to tell, to narrate"
rapida,"quick, fast"
regi,"to rule, to control"
renkonti,to meet
respondi,to answer
resti,"to remain, to continue to be"
resto,"rest, remainder"
ricevi,to receive
ri?a,rich
ridi,to laugh
rigardi,to look (at)
rimarki,to notice
rimedo,"means, resource"
ripozi,to rest
rivero,river
robo,a dress
rompi,to break
rondo,"round, circle"
rozo,rose
ru?a,red
s-ro,Mr.
sabato,Saturday
salti,to jump
saluti,to greet
sama,same
sana,healthy
sango,blood
sata,"full, not hungry"
scii,to know
se,if
sed,but
se?o,chair
seka,dry
sekvi,to follow
semajno,week
sen,without
sendi,to send
senti,to feel
sep,seven
septembro,September
ser?i,"to look for, to seek"
servi,to serve
ses,six
si,reflexive pronoun
sidi,to sit
silenti,to be silent
simpla,simple
sinjoro,"mister, gentleman"
skribi,to write
soifi,to be thirsty
sola,alone
solvi,to solve
somero,summer
soni,to sound
speco,"kind, sort"
stacio,"station (for bus, train, etc.)"
stari,to stand
stato,"state, condition"
strato,street
studi,to study
sub,"under, beneath"
suferi,to suffer
sufi?a,"sufficient, enough"
sukcesi,to succeed
sukero,sugar
suno,sun
super,"over, above"
supro,"top, summit"
sur,"on, upon"
?ajni,"to seem, to appear to be"
?an?i,to change
?ati,"to have a high opinion of, to value, to like"
?i,she
?ipo,ship
?tono,stone
tablo,table
tago,day
tagman?o,lunch
tajpi,to type
tamen,"however, nevertheless"
taso,cup
tasko,task
teo,tea
teatro,a theater
tempo,time
teni,"to hold, to have"
tero,"earth, ground"
timi,to fear
tipo,"type, sort"
tiri,to pull
tra,through
tran?i,to cut
trankvila,"calm, quiet"
trans,"across, on the other side of"
tre,very
tri,three
trinki,to drink
tro,"too, too much"
trovi,to find
tuj,immediately
turni,to turn
tu?i,to touch
tuta,"whole, entire"
unu,one
uono,wok
urbo,"city, town"
usono,"United States of America, USA"
utila,useful
uzi,to use
?ato,Watt
vagono,"train waggon, carriage"
valoro,value
varma,"warm, hot"
veki,to awake (someone)
veni,to come
vendi,to sell
vendredo,Friday
vento,wind
vera,"true, real"
verda,green
vespero,evening
vesto,"garment, article of clothing"
vetero,weather
veturi,"to travel (by vehicle: to drive, to fly, etc.)"
vi,you
vidi,to see
vila?o,village
vino,wine
vintro,winter
viro,man
virino,woman
vitro,glass (substance)
vivi,"to live, to be alive"
viza?o,face
viziti,to visit
vojo,"way, road"
voja?i,"to travel, to journey"
voki,to call
voli,to want to
vorto,word
vortaro,"dictionary, vocabulary"
